Date,Category,Product,Sales,Quantity,Region
2026-01-01,Electronics,Smartphone,$850.00,2,North
2026-01-02,Electronics,Laptop,$1200.00,1,North
2026-01-03,Furniture,Office Chair,$150.00,5,East
2026-01-04,Furniture,Desk,$350.00,2,South
2026-01-05,Office Supplies,Notebook,$15.00,20,West
2026-01-06,Electronics,Headphones,$120.00,4,North
2026-01-07,Office Supplies,Pens,$5.50,50,East
2026-01-08,Furniture,Sofa,$800.00,1,South
2026-01-09,Electronics,Tablet,$450.00,3,West
2026-01-10,Office Supplies,Binder,$12.00,15,North
2026-01-11,Electronics,Smartphone,$850.00,1,East
2026-01-12,Furniture,Office Chair,$150.00,3,West
2026-01-13,Office Supplies,Notebook,$15.00,10,South
2026-01-14,Electronics,Laptop,$1200.00,2,East
2026-01-15,Furniture,Desk,$350.00,1,West
2026-01-16,Electronics,Headphones,$120.00,5,North
2026-01-17,Office Supplies,Pens,$5.50,100,South
2026-01-18,Furniture,Sofa,$800.00,1,North
2026-01-19,Electronics,Tablet,$450.00,2,East
2026-01-20,Office Supplies,Binder,$12.00,8,West
2026-01-21,Electronics,Smartphone,$850.00,3,South
2026-01-22,Furniture,Office Chair,$150.00,2,North
2026-01-23,Office Supplies,Notebook,$15.00,12,East
2026-01-24,Electronics,Laptop,$1200.00,1,West
2026-01-25,Furniture,Desk,$350.00,3,North
2026-01-26,Electronics,Headphones,$120.00,3,East
2026-01-27,Office Supplies,Pens,$5.50,80,West
2026-01-28,Furniture,Sofa,$800.00,2,South
2026-01-29,Electronics,Tablet,$450.00,1,North
2026-01-30,Office Supplies,Binder,$12.00,20,East
2026-02-01,Electronics,Smartphone,$850.00,2,West
2026-02-02,Furniture,Office Chair,$150.00,4,South
2026-02-03,Office Supplies,Notebook,$15.00,25,North
2026-02-04,Electronics,Laptop,$1200.00,1,East
2026-02-05,Furniture,Desk,$350.00,2,West
2026-02-06,Electronics,Headphones,$120.00,2,South
2026-02-07,Office Supplies,Pens,$5.50,120,North
2026-02-08,Furniture,Sofa,$800.00,1,East
2026-02-09,Electronics,Tablet,$450.00,3,West
2026-02-10,Office Supplies,Binder,$12.00,10,South
2026-02-11,Electronics,Smartphone,$850.00,1,North
2026-02-12,Furniture,Office Chair,$150.00,2,East
2026-02-13,Office Supplies,Notebook,$15.00,15,West
2026-02-14,Electronics,Laptop,$1200.00,2,South
2026-02-15,Furniture,Desk,$350.00,1,East
2026-02-16,Electronics,Headphones,$120.00,4,West
2026-02-17,Office Supplies,Pens,$5.50,70,South
2026-02-18,Furniture,Sofa,$800.00,1,North
2026-02-19,Electronics,Tablet,$450.00,2,East
2026-02-20,Office Supplies,Binder,$12.00,12,West
